Topic Area,Topic,Progress Level,Exercise
Numbers and Operations,Understanding and representing numbers,B,اكتب الرقم الذي يأتي بعد ٤٨
Numbers and Operations,Understanding and representing numbers,B,أظهر الرقم 28 باستخدام العشرات والآحاد.
Numbers and Operations,Understanding and representing numbers,B,ضع دائرة حول جميع الأعداد الزوجية: ١٢، ١٥، ١٨، ٢١
Numbers and Operations,Understanding and representing numbers,B,أي عدد يحتوي على 5 عشرات و2 وحدات؟
Numbers and Operations,Understanding and representing numbers,B,أكمل الفراغ: 40، 50، ___، 70
Numbers and Operations,Understanding and representing numbers,B,اكتب الرقم المفقود: ___، ٩١، ٩٢، ٩٣
Numbers and Operations,Understanding and representing numbers,B,ضع دائرة حول جميع الأعداد التي تزيد عن 25: 14، 26، 30، 19
Numbers and Operations,Understanding and representing numbers,B,اكتب العدد ٤٦ بالشكل المفكك: ٤٦ = ___ + ___
Numbers and Operations,Understanding and representing numbers,C,"ما قيمة المنزلة للرقم 6 في العدد 6,524؟"
Numbers and Operations,Understanding and representing numbers,C,"قُم بتقريب العدد 8,649 إلى أقرب مئة."
Numbers and Operations,Understanding and representing numbers,C,كم عدد المئات في 6400؟
Numbers and Operations,Understanding and representing numbers,C,كمال الفراغ: ٧٠٠٠ + ٦٠٠ + ___ + ٥ = ٧٦٨٥
Numbers and Operations,Understanding and representing numbers,C,اكتب أصغر عدد مكون من 4 أرقام يمكنك تشكيله باستخدام الأرقام 4، 1، 8، 0.
Numbers and Operations,Understanding and representing numbers,C,أظهر الكسر (½) باستخدام شريط الكسور.
Numbers and Operations,Understanding and representing numbers,C,اكتب 234 بالشكل الموسع.
Numbers and Operations,Understanding and representing numbers,D,عبّر عن 3.75 على صورة كسر اعتيادي.
Numbers and Operations,Understanding and representing numbers,D,قارن باستخدام <، >، أو =: 3.25 ___ 3.205
Numbers and Operations,Understanding and representing numbers,D,حوّل العدد ٢٧ من النظام العشري (الأساس ١٠) إلى النظام الثنائي (الأساس ٢).
Numbers and Operations,Understanding and representing numbers,D,اكتب 0.007 على شكل كسر في أبسط صورة.
Numbers and Operations,Understanding and representing numbers,D,مثّل العدد -5 على خط الأعداد.
Numbers and Operations,Understanding and representing numbers,D,حوّل 3/4 إلى عدد عشري.
Numbers and Operations,Understanding and representing numbers,D,أي الأعداد أقرب إلى الصفر: -3 أم -0.7؟
Numbers and Operations,Understanding and representing numbers,E,اكتب العدد 4.56 ككسر في أبسط صورة.
Numbers and Operations,Understanding and representing numbers,E,حوّل 125% إلى عدد عشري.
Numbers and Operations,Understanding and representing numbers,E,ما هي القيمة المطلقة للعدد -1309؟
Numbers and Operations,Understanding and representing numbers,E,حوّل ٢.١٢٥ إلى عدد كسري مختلط.
Numbers and Operations,Understanding and representing numbers,E,ما قيمة المنزل للعدد 6 في 3.067؟
Numbers and Operations,Understanding and representing numbers,E,عبر عن 7/8 كعدد عشري.
Numbers and Operations,Understanding and representing numbers,F,اكتب 3.2 × 10³ بالصورة العشرية العادية.
Numbers and Operations,Understanding and representing numbers,F,اكتب الجذر التربيعي لـ 50 كعدد عشري مع التقريب إلى منزلتين عشريتين.
Numbers and Operations,Understanding and representing numbers,F,قدر قيمة √65 بدون استخدام الآلة الحاسبة.
Numbers and Operations,Understanding and representing numbers,F,اكتب 0.00072 بالصيغ العلمية.
Numbers and Operations,Understanding and representing numbers,F,حوّل العدد 125 إلى النظام الثنائي.
Numbers and Operations,Understanding and representing numbers,F,هل 4.333... (المتكررة) عدد نسبي أم عدد غير نسبي؟ ولماذا؟
Numbers and Operations,Understanding and representing numbers,F,أي الأعداد ليست عددًا صحيحًا: 3.14159، 22/7، π؟
Numbers and Operations,Understanding and representing numbers,G,حوّل 5¼ إلى كسر غير حقيقي.
Numbers and Operations,Understanding and representing numbers,G,ارسم الأعداد ٣/٤، √٢، و -١.٥ على خط الأعداد
Numbers and Operations,Understanding and representing numbers,G,قدر موقع الجذر التربيعي ٥ على خط الأعداد.
Numbers and Operations,Understanding and representing numbers,G,هل العدد ١١/٧ أقرب إلى ١ أم ٢؟ أظهر خطوات الحل.
Numbers and Operations,Understanding and representing numbers,H,حول العدد العشري 156 إلى النظام الثنائي والست عشري.
Numbers and Operations,Understanding and representing numbers,H,مثل الرقم الست عشري 1A3 بالنظام الثنائي.
Numbers and Operations,Understanding and representing numbers,H,اكتب العدد الثنائي 101101.11 كعدد عشري.
Numbers and Operations,Understanding and representing numbers,H,حدد أي من الأعداد التالية يعتبر عددًا غير نسبي: π، 22/7، √2، √16
Numbers and Operations,Understanding and representing numbers,H,قارن بين 0x2F (نظام العد الست عشري) و47 (نظام العد العشري) – هل هما متساويان؟
Numbers and Operations,Understanding and representing numbers,H,اكتب الكسر العشري الدوري 0.142857... على صورة كسر اعتيادي.
Numbers and Operations,Understanding and performing operations,B,ما هو 6 + 7؟ ______
Numbers and Operations,Understanding and performing operations,B,املأ الفراغ: 9 + ___ = 14
Numbers and Operations,Understanding and performing operations,B,احسب ناتج 25 + 10 = ______
Numbers and Operations,Understanding and performing operations,B,ما هو 6 + 6 + 6؟ ______
Numbers and Operations,Understanding and performing operations,B,تبلغ تكلفة لعبة 12 دينارًا.إذا دفعت بفئة 20 دينارًا، فكم سيكون المبلغ المتبقي؟
Numbers and Operations,Understanding and performing operations,B,"اكتب جملة عددية تعبر عن العبارة التالية: 'سام لديه ٤ تفاحات. حصل على ٣ تفاحات أخرى.'"
Numbers and Operations,Understanding and performing operations,B,اختر الجملة العددية التي تساوي 12: أ) 8 + 4 ب) 5 + 5 ج) 6 + 3
Numbers and Operations,Understanding and performing operations,B,أيّهما أكبر: ٤ + ٣ أم ٩ - ٢؟ ______
Numbers and Operations,Understanding and performing operations,C,احسب ناتج 324 + 178 = ___
Numbers and Operations,Understanding and performing operations,C,احسب الناتج: ٥٠٠٠ − ١٢٣٧ = ___
Numbers and Operations,Understanding and performing operations,C,احسب حاصل ضرب 36 × 4 = ___
Numbers and Operations,Understanding and performing operations,C,احسب ناتج 48 ÷ 6 = ___
Numbers and Operations,Understanding and performing operations,C,ما هو الباقي عند قسمة 25 على 4؟
Numbers and Operations,Understanding and performing operations,D,استخدم الخوارزمية القياسية (الضرب المطوّل خطوة بخطوة) لحساب ١٢ × ٢٣٤
Numbers and Operations,Understanding and performing operations,D,استخدم القسمة المطوّلة لحساب: 75.6 ÷ 3.2
Numbers and Operations,Understanding and performing operations,D,اضرب: ¾ × ⅖
Numbers and Operations,Understanding and performing operations,D,جد ناتج القسمة: 9 ½ ÷ 3
Numbers and Operations,Understanding and performing operations,D,أضف: ٢(١/٣) + ٤(٢/٣)
