Exercise Index,Progress Level,Best Explanation,Worst Explanation,Ranking,Justification
0,2nd grade (7yo),en,ar,"[en: 1, de: 2, ar: 3]",
1,2nd grade (7yo),de,ar,"[de: 1, en: 2, ar: 3]",
2,2nd grade (7yo),ar,en,"[ar: 1, de: 2, en: 3]",
3,2nd grade (7yo),en,ar,"[en: 1, de: 2, ar: 3]",
4,2nd grade (7yo),en,ar,"[en: 1, de: 2, ar: 3]",
5,2nd grade (7yo),en,ar,"[en: 1, de: 2, ar: 3]",
6,4th grade (9yo),en,ar,"[en: 1, de: 2, ar: 3]",
7,4th grade (9yo),en,ar,"[en: 1, de: 2, ar: 3]",
8,4th grade (9yo),ar,de,"[en: 2, de: 3, ar: 1]",
9,4th grade (9yo),en,ar,"[en: 1, de: 2, ar: 3]",
10,4th grade (9yo),en,ar,"[en: 1, de: 2, ar: 3]",
11,4th grade (9yo),en,ar,"[en: 1, de: 2, ar: 3]",
12,6th grade (11yo),en,ar,"[en: 1, de: 2, ar: 3]",
13,6th grade (11yo),ar,de,"[ar: 1, en: 2, de: 3]",
14,6th grade (11yo),en,de,"[en: 1, ar: 2, de: 3]",
15,6th grade (11yo),en,ar,"[en: 1, de: 2, ar: 3]",
16,6th grade (11yo),en,ar,"[en: 1, de: 2, ar: 3]",
17,6th grade (11yo),en,ar,"[en: 1, de: 2, ar: 3]",
18,9th grade (14yo),en,ar,"[en: 1, de: 2, ar: 3]",
19,9th grade (14yo),en,ar,"[en: 1, de: 2, ar: 3]",
20,9th grade (14yo),de,ar,"[de: 1, en: 2, ar: 3]",
21,8th grade (13yo),en,ar,"[en: 1, de: 2, ar: 3]",
22,8th grade (13yo),en,ar,"[en: 1, de: 2, ar: 3]",
23,8th grade (13yo),en,ar,"[en: 1, de: 2, ar: 3]",
24,4th grade (9yo),de,ar,"[en: 2, de: 1, ar: 3]",
25,4th grade (9yo),en,ar,"[en: 1, de: 2, ar: 3]",
26,4th grade (9yo),en,ar,"[en: 1, de: 2, ar: 3]",
27,10th grade (15yo),en,ar,"[en: 1, de: 2, ar: 3]",
28,10th grade (15yo),en,de,"[en: 1, de: 3, ar: 2]",
29,10th grade (15yo),de,ar,"[en: 2, de: 1, ar: 3]",
30,6th grade (11yo),en,ar,"[en: 1, de: 2, ar: 3]",
31,6th grade (11yo),en,ar,"[en: 1, de: 2, ar: 3]",
32,6th grade (11yo),en,ar,"[en: 1, de: 2, ar: 3]",
33,7th grade (12yo),en,ar,"[en: 1, de: 2, ar: 3]",
34,7th grade (12yo),en,ar,"[en: 1, de: 2, ar: 3]",
35,7th grade (12yo),en,ar,"[en: 1, de: 2, ar: 3]",
36,7th grade (12yo),en,ar,"[en: 1, de: 2, ar: 3]",
37,7th grade (12yo),en,ar,"[en: 1, de: 2, ar: 3]",
38,7th grade (12yo),en,ar,"[en: 1, de: 2, ar: 3]",
39,8th grade (13yo),en,ar,"[en: 1, de: 2, ar: 3]",
40,8th grade (13yo),en,ar,"[en: 1, de: 2, ar: 3]",
41,8th grade (13yo),en,ar,"[en: 1, de: 2, ar: 3]",
42,9th grade (14yo),en,ar,"[en: 1, de: 2, ar: 3]",
43,9th grade (14yo),en,ar,"[en: 1, de: 2, ar: 3]",
44,9th grade (14yo),en,ar,"[en: 1, de: 2, ar: 3]",
45,6th grade (11yo),en,ar,"[en: 1, de: 2, ar: 3]",
46,6th grade (11yo),en,ar,"[en: 1, de: 2, ar: 3]",
47,6th grade (11yo),en,ar,"[en: 1, de: 2, ar: 3]",
48,7th grade (12yo),en,ar,"[en: 1, de: 2, ar: 3]",
49,7th grade (12yo),en,ar,"[en: 1, de: 2, ar: 3]",
