Exercise Index,Progress Level,gpt-4o-mini Ranking,gemini-2.5-flash Ranking,qwen-plus Ranking,claude-3-5-haiku Ranking,Best,Mid,Worst
0,2nd grade (7yo),{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 3, 'en': 1, 'de': 2}","{'ar': 2, 'en': 1, 'de': 3}",en,ar,de
1,2nd grade (7yo),{},"{'de': 3, 'ar': 2, 'en': 1}","{'de': 2, 'ar': 3, 'en': 1}","{'de': 1, 'ar': 3, 'en': 2}",en,TIE,ar
2,2nd grade (7yo),{},"{'ar': 3, 'de': 1, 'en': 2}","{'ar': 3, 'de': 2, 'en': 1}","{'ar': 2, 'de': 3, 'en': 1}",en,TIE,ar
3,2nd grade (7yo),{},"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 2, 'de': 3, 'en': 1}","{'ar': 2, 'de': 3, 'en': 1}",en,ar,de
4,2nd grade (7yo),{},"{'en': 2, 'de': 3, 'ar': 1}","{'en': 1, 'de': 3, 'ar': 2}","{'en': 1, 'de': 2, 'ar': 3}",en,TIE,de
5,2nd grade (7yo),{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
6,2nd grade (7yo),{},"{'de': 1, 'ar': 3, 'en': 2}","{'de': 2, 'ar': 3, 'en': 1}","{'de': 2, 'ar': 3, 'en': 1}",en,de,ar
7,2nd grade (7yo),{},"{'ar': 3, 'en': 1, 'de': 2}","{'ar': 3, 'en': 1, 'de': 2}","{'ar': 2, 'en': 1, 'de': 3}",en,de,ar
8,4th grade (9yo),{},"{'en': 1, 'de': 3, 'ar': 2}","{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,ar,de
9,4th grade (9yo),{},"{'ar': 2, 'de': 3, 'en': 1}","{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'de': 3, 'en': 2}",en,ar,de
10,4th grade (9yo),{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}",en,ar,de
11,4th grade (9yo),{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 3, 'de': 2, 'en': 1}","{'ar': 2, 'de': 3, 'en': 1}",en,de,ar
12,4th grade (9yo),{},"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
13,4th grade (9yo),{},"{'ar': 1, 'en': 3, 'de': 2}","{'ar': 1, 'de': 2, 'en': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,de,en
14,4th grade (9yo),{},"{'de': 2, 'en': 1, 'ar': 3}","{'de': 3, 'en': 1, 'ar': 2}","{'de': 2, 'en': 1, 'ar': 3}",en,de,ar
15,6th grade (11yo),{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}",en,ar,de
16,6th grade (11yo),{},"{'en': 1, 'ar': 3, 'de': 2}","{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,de,ar
17,6th grade (11yo),{},"{'de': 2, 'ar': 3, 'en': 1}","{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 3, 'en': 2}",de,TIE,ar
18,6th grade (11yo),{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
19,6th grade (11yo),{},"{'en': 2, 'ar': 3, 'de': 1}","{'en': 1, 'ar': 3, 'de': 2}","{'en': 1, 'ar': 2, 'de': 3}",en,TIE,ar
20,6th grade (11yo),{},"{'en': 1, 'de': 3, 'ar': 2}","{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
21,6th grade (11yo),{},"{'de': 3, 'en': 2, 'ar': 1}","{'de': 2, 'en': 1, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",en,de,ar
22,7th grade (12 yo),{},"{'ar': 1, 'en': 3, 'de': 2}","{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,TIE,de
23,7th grade (12 yo),{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'ar': 3, 'en': 1}","{'de': 1, 'ar': 3, 'en': 2}",de,en,ar
24,7th grade (12 yo),{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
25,7th grade (12 yo),{},"{'ar': 2, 'de': 3, 'en': 1}","{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",en,ar,de
26,7th grade (12 yo),{},"{'de': 3, 'en': 1, 'ar': 2}","{'de': 3, 'en': 1, 'ar': 2}","{'de': 1, 'en': 2, 'ar': 3}",en,ar,de
27,7th grade (12 yo),{},"{'de': 1, 'ar': 3, 'en': 2}","{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 3, 'en': 2}",de,en,ar
28,8th grade (13yo),{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}",en,ar,de
29,8th grade (13yo),{},"{'de': 1, 'ar': 3, 'en': 2}","{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 3, 'en': 2}",de,en,ar
30,8th grade (13yo),{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
31,8th grade (13yo),{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
32,8th grade (13yo),{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
33,8th grade (13yo),{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",en,de,TIE
34,8th grade (13yo),{},"{'ar': 3, 'en': 1, 'de': 2}","{'ar': 3, 'en': 1, 'de': 2}","{'ar': 3, 'en': 1, 'de': 2}",en,de,ar
35,9th grade (14yo),{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 3, 'en': 1, 'de': 2}","{'ar': 2, 'en': 1, 'de': 3}",en,TIE,de
36,9th grade (14yo),{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
37,9th grade (14yo),{},"{'en': 1, 'de': 3, 'ar': 2}","{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
38,9th grade (14yo),{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",en,de,ar
39,10th grade (15yo),{},"{'de': 2, 'ar': 3, 'en': 1}","{'de': 2, 'ar': 3, 'en': 1}","{'de': 1, 'ar': 2, 'en': 3}",en,de,ar
40,10th grade (15yo),{},"{'de': 1, 'en': 3, 'ar': 2}","{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
41,10th grade (15yo),{},"{'ar': 2, 'de': 3, 'en': 1}","{'ar': 3, 'de': 2, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",en,de,TIE
42,10th grade (15yo),{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
43,10th grade (15yo),{},"{'ar': 1, 'en': 3, 'de': 2}","{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,TIE,de
44,10th grade (15yo),{},"{'en': 2, 'de': 3, 'ar': 1}","{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
45,2nd grade (7yo),{},"{'de': 3, 'ar': 2, 'en': 1}","{'de': 3, 'ar': 2, 'en': 1}","{'de': 3, 'ar': 2, 'en': 1}",en,ar,de
46,2nd grade (7yo),{},"{'en': 3, 'de': 2, 'ar': 1}","{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
47,2nd grade (7yo),{},"{'en': 3, 'ar': 1, 'de': 2}","{'en': 2, 'ar': 3, 'de': 1}","{'en': 2, 'ar': 3, 'de': 1}",de,en,ar
48,2nd grade (7yo),{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'ar': 3, 'de': 2}",en,de,ar
49,2nd grade (7yo),{},"{'en': 3, 'de': 1, 'ar': 2}","{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
50,2nd grade (7yo),{},"{'de': 2, 'ar': 3, 'en': 1}","{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 3, 'en': 2}",de,en,ar
51,2nd grade (7yo),{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}",en,ar,de
52,2nd grade (7yo),{},"{'de': 2, 'en': 1, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",en,de,ar
53,4th grade (9yo),{},"{'en': 2, 'ar': 3, 'de': 1}","{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
54,4th grade (9yo),{},"{'de': 3, 'en': 1, 'ar': 2}","{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",en,TIE,ar
55,4th grade (9yo),{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
56,4th grade (9yo),{},"{'ar': 1, 'en': 3, 'de': 2}","{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,TIE,de
57,4th grade (9yo),{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",en,de,ar
58,6th grade (11yo),{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
59,6th grade (11yo),{},"{'ar': 3, 'en': 1, 'de': 2}","{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",en,TIE,de
60,6th grade (11yo),{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
61,6th grade (11yo),{},"{'ar': 3, 'en': 2, 'de': 1}","{'ar': 3, 'en': 1, 'de': 2}","{'ar': 2, 'en': 1, 'de': 3}",en,TIE,ar
62,6th grade (11yo),{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 3, 'de': 2, 'en': 1}","{'ar': 2, 'de': 3, 'en': 1}",en,de,ar
63,7th grade (12 yo),{},"{'de': 2, 'en': 1, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",en,de,ar
64,7th grade (12 yo),{},"{'de': 2, 'ar': 3, 'en': 1}","{'de': 2, 'ar': 3, 'en': 1}","{'de': 1, 'ar': 3, 'en': 2}",en,de,ar
