Exercise Index,Progress Level,gpt-4o-mini Ranking,gemini-2.5-flash Ranking,qwen-plus Ranking,claude-3-5-haiku Ranking,Best,Mid,Worst
0,2nd grade (7yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
1,2nd grade (7yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
2,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
3,2nd grade (7yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
4,2nd grade (7yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
5,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
6,2nd grade (7yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 2, 'ar': 3, 'en': 1}","{'de': 2, 'ar': 3, 'en': 1}",en,de,ar
7,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
8,4th grade (9yo),"{'en': 1, 'de': 3, 'ar': 2}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,ar,de
9,4th grade (9yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
10,4th grade (9yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
11,4th grade (9yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
12,4th grade (9yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 2, 'de': 1, 'en': 3}",TIE,de,en
13,4th grade (9yo),"{'de': 1, 'en': 3, 'ar': 2}",{},"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'en': 3, 'ar': 2}",de,ar,en
14,4th grade (9yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
15,6th grade (11yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
16,6th grade (11yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 3, 'ar': 1, 'en': 2}","{'de': 2, 'ar': 1, 'en': 3}",ar,TIE,en
17,6th grade (11yo),"{'ar': 2, 'de': 1, 'en': 3}",{},"{'ar': 3, 'de': 1, 'en': 2}","{'ar': 1, 'de': 2, 'en': 3}",de,TIE,en
18,6th grade (11yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
19,6th grade (11yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
20,6th grade (11yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
21,6th grade (11yo),"{'de': 2, 'en': 1, 'ar': 3}",{},"{'de': 3, 'en': 1, 'ar': 2}","{'de': 2, 'en': 1, 'ar': 3}",en,de,ar
22,7th grade (12 yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
23,7th grade (12 yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
24,7th grade (12 yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
25,7th grade (12 yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
26,7th grade (12 yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
27,7th grade (12 yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'de': 3, 'en': 2}",ar,en,de
28,8th grade (13yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
29,8th grade (13yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
30,8th grade (13yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
31,8th grade (13yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
32,8th grade (13yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
33,8th grade (13yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}","{'de': 2, 'ar': 1, 'en': 3}",de,ar,en
34,8th grade (13yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 2, 'en': 1, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
35,9th grade (14yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
36,9th grade (14yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 3, 'ar': 2, 'en': 1}","{'de': 2, 'ar': 3, 'en': 1}",en,ar,TIE
37,9th grade (14yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
38,9th grade (14yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
39,10th grade (15yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 2, 'ar': 3, 'en': 1}","{'de': 1, 'ar': 2, 'en': 3}",de,TIE,ar
40,10th grade (15yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
41,10th grade (15yo),"{'ar': 1, 'de': 3, 'en': 2}",{},"{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'de': 3, 'en': 2}",ar,en,de
42,10th grade (15yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
43,10th grade (15yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
44,10th grade (15yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
45,2nd grade (7yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
46,2nd grade (7yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
47,2nd grade (7yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
48,2nd grade (7yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
49,2nd grade (7yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
50,2nd grade (7yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
51,2nd grade (7yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
52,2nd grade (7yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
53,4th grade (9yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
54,4th grade (9yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
55,4th grade (9yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
56,4th grade (9yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
57,4th grade (9yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
58,6th grade (11yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
